Food Name,Category,Dietary Preference,Ingredients,Cooking Instructions,Spice Level,Cooking Time (mins),Serving Size,Calories,Protein (g),Carbohydrates (g),Fats (g),Step-by-Step Cooking Guide
Bharwa Shimla Mirch,North Indian,Vegetarian,"Bell peppers, potato stuffing",Stuffed pepper curry,Medium,40,3,260,6,26,11,1. Prepare potato stuffing. 2. Stuff peppers. 3. Shallow fry. 4. Add gravy if needed. 5. Cook till soft.
Rajasthani Ker Sangri,North Indian,Vegetarian,"Desert beans, spices",Dry spicy sabzi,High,45,4,190,5,18,7,1. Soak ker sangri. 2. Boil till soft. 3. Sauté spices. 4. Add vegetables. 5. Cook till dry.
Chana Saag,North Indian,Vegetarian,"Chickpeas, spinach",Chickpeas cooked in greens,Low,35,4,290,14,36,8,1. Cook chickpeas. 2. Blanch spinach. 3. Blend spinach. 4. Add spices. 5. Simmer together.
Pyaaz Ki Kachori,North Indian,Vegetarian,"Onion, flour, spices",Fried stuffed kachori,High,50,4,420,8,44,20,1. Prepare dough. 2. Make onion filling. 3. Stuff dough balls. 4. Deep fry. 5. Serve hot.
Dahi Ke Kebab,North Indian,Vegetarian,"Hung curd, paneer",Crispy shallow-fried kebabs,Medium,30,3,260,12,14,14,1. Mix hung curd with paneer. 2. Add spices. 3. Shape kebabs. 4. Shallow fry. 5. Serve with chutney.
Khoya Matar,North Indian,Vegetarian,"Khoya, peas, spices",Rich khoya-based curry,Mild,35,3,390,14,24,26,1. Sauté khoya gently. 2. Add tomato gravy. 3. Add peas. 4. Add spices. 5. Simmer and serve.
Bajre Ki Roti,North Indian,Vegetarian,"Pearl millet flour, water",Flatbread cooked on tawa,Low,25,3,180,5,36,2,1. Knead bajra dough. 2. Shape flat roti. 3. Cook on tawa. 4. Apply ghee. 5. Serve hot.
Besan Gatte Pulao,North Indian,Vegetarian,"Besan gatte, rice",Spiced rice with gatte,Medium,40,3,350,10,48,10,1. Prepare gatte. 2. Cook rice. 3. Sauté spices. 4. Add gatte and rice. 5. Mix gently.
Murgh Do Pyaza,North Indian,Non-Vegetarian,"Chicken, onions",Double onion chicken curry,High,45,4,420,28,14,24,1. Fry half onions. 2. Cook chicken with spices. 3. Add remaining onions. 4. Simmer till thick. 5. Serve hot.
Chicken Changezi,North Indian,Non-Vegetarian,"Chicken, yogurt, cream",Rich creamy chicken curry,Medium,50,4,460,30,12,28,1. Marinate chicken. 2. Cook in gravy. 3. Add yogurt. 4. Add cream. 5. Simmer till done.
Bhuna Gosht,North Indian,Non-Vegetarian,"Mutton, spices",Slow-roasted meat curry,High,70,4,520,32,8,38,1. Heat oil and spices. 2. Add mutton. 3. Bhunao well. 4. Cook till oil separates. 5. Garnish and serve.
Kali Dal,North Indian,Vegetarian,"Black urad dal, butter",Creamy slow-cooked dal,Low,60,4,340,16,32,16,1. Soak dal overnight. 2. Pressure cook. 3. Add butter and spices. 4. Simmer slowly. 5. Serve hot.
Egg Curry Punjabi,North Indian,Non-Vegetarian,"Eggs, onion, tomato",Boiled eggs in gravy,Medium,30,3,290,14,16,16,1. Boil eggs. 2. Prepare onion gravy. 3. Add spices. 4. Add eggs. 5. Simmer and serve.
Methi Malai Murgh,North Indian,Non-Vegetarian,"Chicken, fenugreek, cream",Creamy methi chicken,Mild,45,4,440,28,10,30,1. Sauté methi. 2. Cook chicken. 3. Add spices. 4. Add cream. 5. Simmer gently.
Chicken Alfredo,Foreign,Non-Vegetarian,"Pasta, chicken, cream, garlic",Cook pasta and toss in creamy sauce,Mild,35,3,520,28,45,26,"1. Boil pasta till al dente. 2. Grill chicken pieces. 3. Sauté garlic in butter. 4. Add cream and seasoning. 5. Mix pasta and chicken, serve hot."
Vegetable Sushi,Foreign,Vegetarian,"Sushi rice, nori, vegetables",Roll seasoned rice with vegetables,Mild,45,4,300,6,58,4,1. Cook sushi rice. 2. Season with vinegar. 3. Prepare vegetables. 4. Roll with nori sheet. 5. Slice and serve.
Chicken Fajitas,Foreign,Non-Vegetarian,"Chicken, bell peppers, tortillas",Sauté chicken and veggies,Mild,30,3,420,26,38,18,1. Slice chicken and vegetables. 2. Marinate with spices. 3. Sauté on high heat. 4. Warm tortillas. 5. Assemble and serve.
Beef Stroganoff,Foreign,Non-Vegetarian,"Beef, mushrooms, cream",Cook beef in creamy mushroom sauce,Mild,45,4,560,32,18,38,1. Slice beef thinly. 2. Sauté mushrooms. 3. Cook beef quickly. 4. Add cream sauce. 5. Serve over rice or pasta.
Veggie Burger,Foreign,Vegetarian,"Beans, breadcrumbs, spices",Grill vegetable patty,Low,40,2,380,14,48,14,1. Mash beans and vegetables. 2. Add spices and crumbs. 3. Shape patties. 4. Grill or pan-fry. 5. Assemble burger.
Chicken Enchiladas,Foreign,Non-Vegetarian,"Chicken, tortillas, cheese",Bake stuffed tortillas,Medium,50,4,480,30,42,24,1. Cook and shred chicken. 2. Prepare sauce. 3. Stuff tortillas. 4. Top with cheese. 5. Bake till bubbly.
Minestrone Soup,Foreign,Vegetarian,"Vegetables, beans, pasta",Simmer vegetables and beans,Low,40,4,220,8,34,6,1. Chop vegetables. 2. Sauté in olive oil. 3. Add broth and beans. 4. Add pasta. 5. Simmer till cooked.
Chicken Teriyaki,Foreign,Non-Vegetarian,"Chicken, soy sauce, sugar",Glaze chicken in sauce,Mild,30,3,410,28,22,18,1. Prepare teriyaki sauce. 2. Pan-cook chicken. 3. Add sauce. 4. Reduce till glossy. 5. Serve with rice.
Greek Salad,Foreign,Vegetarian,"Tomato, cucumber, feta",Toss fresh vegetables,Low,15,3,180,5,12,12,1. Chop vegetables. 2. Add olives. 3. Crumble feta. 4. Drizzle olive oil. 5. Toss gently.
BBQ Chicken Wings,Foreign,Non-Vegetarian,"Chicken wings, BBQ sauce",Bake and glaze wings,Medium,45,4,460,30,14,32,1. Season wings. 2. Bake till crispy. 3. Toss in BBQ sauce. 4. Grill briefly. 5. Serve hot.
Margarita Pizza,Foreign,Vegetarian,"Pizza dough, tomato sauce, cheese",Bake pizza till cheese melts,Mild,40,4,520,22,62,22,1. Roll dough. 2. Spread sauce. 3. Add cheese. 4. Bake till golden. 5. Slice and serve.
Chicken Caesar Salad,Foreign,Non-Vegetarian,"Chicken, lettuce, dressing",Toss salad with dressing,Low,25,3,360,24,12,22,1. Grill chicken. 2. Chop lettuce. 3. Prepare dressing. 4. Toss together. 5. Top with chicken.
Stuffed Bell Peppers,Foreign,Vegetarian,"Bell peppers, rice, vegetables",Bake stuffed peppers,Low,45,3,300,8,46,8,1. Prepare filling. 2. Stuff peppers. 3. Place in tray. 4. Bake till tender. 5. Serve warm.
Fish Tacos,Foreign,Non-Vegetarian,"Fish, tortillas, cabbage",Assemble fried fish tacos,Medium,30,3,410,24,36,18,1. Batter and fry fish. 2. Warm tortillas. 3. Prepare slaw. 4. Assemble tacos. 5. Serve fresh.
Chicken Pot Pie,Foreign,Non-Vegetarian,"Chicken, vegetables, pastry",Bake creamy pie,Low,60,4,550,26,44,30,1. Cook chicken filling. 2. Prepare pastry. 3. Fill pie dish. 4. Cover with pastry. 5. Bake till golden.
Risotto,Foreign,Vegetarian,"Arborio rice, broth, cheese",Slowly cook rice with broth,Mild,45,3,420,12,58,14,1. Sauté rice. 2. Add warm broth gradually. 3. Stir constantly. 4. Add cheese. 5. Serve creamy.
Chicken Schnitzel,Foreign,Non-Vegetarian,"Chicken, breadcrumbs, egg",Bread and shallow fry,Medium,35,3,480,32,28,26,1. Flatten chicken. 2. Coat with crumbs. 3. Heat oil. 4. Fry till golden. 5. Drain and serve.
Vegetable Paella,Foreign,Vegetarian,"Rice, vegetables, saffron",Cook rice with vegetables,Mild,50,4,360,9,54,10,1. Sauté vegetables. 2. Add rice and spices. 3. Add broth. 4. Cook without stirring. 5. Rest and serve.
Honey Garlic Chicken,Foreign,Non-Vegetarian,"Chicken, honey, garlic",Glaze chicken with sauce,Mild,30,3,430,26,28,20,1. Cook chicken pieces. 2. Prepare honey garlic sauce. 3. Add sauce to chicken. 4. Reduce till sticky. 5. Serve hot.
Veg Queso Dip,Foreign,Vegetarian,"Cheese, milk, peppers",Melt cheese into dip,Low,20,4,320,12,10,24,1. Heat milk. 2. Add cheese slowly. 3. Stir continuously. 4. Add peppers. 5. Serve warm.
Chicken Yakitori,Foreign,Non-Vegetarian,"Chicken, soy sauce, skewers",Grill skewered chicken,Mild,25,3,360,28,12,20,1. Skewer chicken. 2. Prepare glaze. 3. Grill chicken. 4. Brush glaze. 5. Serve hot.
Vegetable Gnocchi,Foreign,Vegetarian,"Gnocchi, vegetables, sauce",Toss gnocchi with sauce,Mild,30,3,390,10,52,14,1. Boil gnocchi. 2. Sauté vegetables. 3. Add sauce. 4. Toss gnocchi. 5. Serve immediately.
Chicken Roulade,Foreign,Non-Vegetarian,"Chicken breast, stuffing",Roll and bake chicken,Medium,50,3,470,34,10,28,1. Flatten chicken breast. 2. Add stuffing. 3. Roll tightly. 4. Bake till cooked. 5. Slice and serve.
Veggie Lasagna Roll-Ups,Foreign,Vegetarian,"Lasagna sheets, vegetables",Bake rolled pasta,Low,55,4,430,16,46,18,1. Boil pasta sheets. 2. Prepare vegetable filling. 3. Roll sheets. 4. Top with sauce. 5. Bake till bubbly.
Chicken Tortilla Soup,Foreign,Non-Vegetarian,"Chicken, tomato broth",Simmer hearty soup,Medium,40,4,340,22,26,14,1. Cook chicken. 2. Prepare broth. 3. Add spices. 4. Simmer ingredients. 5. Garnish and serve.
Vegetable Ratatouille,Foreign,Vegetarian,"Zucchini, eggplant, tomato",Slow-cooked vegetable stew,Low,45,4,220,6,26,10,1. Slice vegetables. 2. Layer in pot. 3. Add herbs. 4. Cook slowly. 5. Serve warm.
Chicken Milanese,Foreign,Non-Vegetarian,"Chicken, breadcrumbs, egg",Crispy breaded chicken,Medium,35,3,480,30,26,28,1. Flatten chicken. 2. Coat with crumbs. 3. Heat oil. 4. Fry till crisp. 5. Serve hot.
Vegetable Omelette,Easy to Cook,Non-Vegetarian,"Eggs, onion, tomato, chili",Cook beaten eggs with vegetables,Low,15,1,220,14,6,16,"1. Chop vegetables finely. 2. Beat eggs with salt and pepper. 3. Heat pan with oil. 4. Add vegetables and sauté briefly. 5. Pour eggs, cook till set."
Paneer Sandwich,Easy to Cook,Vegetarian,"Paneer, bread, butter",Toast paneer-stuffed bread,Low,15,1,320,14,28,18,1. Crumble paneer. 2. Season with salt and pepper. 3. Spread butter on bread. 4. Add paneer filling. 5. Toast till golden.
Jeera Rice,Easy to Cook,Vegetarian,"Rice, cumin seeds, ghee",Temper cumin and mix with rice,Low,20,2,280,6,48,6,1. Cook rice and cool slightly. 2. Heat ghee in pan. 3. Add cumin seeds. 4. Add rice and salt. 5. Mix gently and serve.
Vegetable Dalia,Easy to Cook,Vegetarian,"Broken wheat, vegetables",Cook dalia with vegetables,Low,25,2,260,9,42,4,1. Dry roast dalia. 2. Add water and vegetables. 3. Cook till soft. 4. Add salt. 5. Serve hot.
Masala Toast,Easy to Cook,Vegetarian,"Bread, onion, tomato, spices",Toast spiced vegetable bread,Medium,15,2,240,6,30,10,1. Chop vegetables finely. 2. Mix with spices. 3. Spread on bread. 4. Toast on pan. 5. Serve hot.
Egg Fried Toast,Easy to Cook,Non-Vegetarian,"Eggs, bread, butter",Fry bread dipped in egg,Low,10,1,260,12,22,14,1. Beat egg with salt. 2. Dip bread slices. 3. Heat butter in pan. 4. Fry bread both sides. 5. Serve immediately.
Vegetable Poha Cutlet,Easy to Cook,Vegetarian,"Poha, potato, spices",Shallow fry cutlets,Medium,30,3,290,8,38,10,1. Soak poha briefly. 2. Mash with potato. 3. Add spices. 4. Shape cutlets. 5. Shallow fry till crisp.
Curd Sandwich,Easy to Cook,Vegetarian,"Yogurt, bread, cucumber",Assemble chilled sandwich,Low,10,1,210,7,28,6,1. Whisk yogurt with salt. 2. Chop cucumber. 3. Spread yogurt on bread. 4. Add cucumber. 5. Close and serve.
Vegetable Maggi Masala,Easy to Cook,Vegetarian,"Instant noodles, vegetables",Cook noodles with vegetables,Medium,15,1,340,8,48,12,1. Boil water. 2. Add noodles and masala. 3. Add chopped vegetables. 4. Cook till soft. 5. Serve hot.
Sweet Corn Salad,Easy to Cook,Vegetarian,"Sweet corn, onion, lemon",Mix corn with seasoning,Low,10,2,180,6,32,3,1. Boil sweet corn. 2. Cool slightly. 3. Add onion and lemon. 4. Season with salt. 5. Toss and serve.
Peanut Butter Toast,Easy to Cook,Vegetarian,"Bread, peanut butter",Toast bread with spread,Low,5,1,250,9,26,14,1. Toast bread slices. 2. Spread peanut butter evenly. 3. Optional honey drizzle. 4. Serve warm. 5. Enjoy immediately.
Vegetable Upma Cups,Easy to Cook,Vegetarian,"Rava, vegetables, spices",Cook rava with vegetables,Low,20,2,270,7,40,8,1. Dry roast rava. 2. Sauté vegetables. 3. Add water and rava. 4. Cook till thick. 5. Serve hot.
Egg Salad,Easy to Cook,Non-Vegetarian,"Boiled eggs, mayo",Mix chopped eggs with dressing,Low,10,2,310,14,6,24,1. Boil eggs. 2. Peel and chop. 3. Add mayonnaise. 4. Season lightly. 5. Serve chilled.
Vegetable Cheese Quesadilla,Easy to Cook,Vegetarian,"Tortilla, cheese, vegetables",Toast stuffed tortilla,Low,15,2,360,14,34,18,1. Heat tortilla. 2. Add vegetables and cheese. 3. Fold tortilla. 4. Toast till cheese melts. 5. Cut and serve.
Banana Peanut Smoothie,Easy to Cook,Vegetarian,"Banana, peanuts, milk",Blend into smoothie,Low,5,1,290,10,36,12,1. Peel banana. 2. Add peanuts and milk. 3. Blend till smooth. 4. Chill if needed. 5. Serve fresh.
Vegetable Omelette Wrap,Easy to Cook,Non-Vegetarian,"Eggs, vegetables, roti",Wrap omelette in roti,Medium,15,1,340,16,28,18,1. Prepare vegetable omelette. 2. Heat roti. 3. Place omelette on roti. 4. Roll tightly. 5. Serve warm.
Curd Pasta,Easy to Cook,Vegetarian,"Pasta, yogurt, herbs",Mix cooked pasta with curd,Low,20,2,310,10,42,8,1. Boil pasta. 2. Cool slightly. 3. Mix yogurt and herbs. 4. Add pasta. 5. Toss and serve.
Vegetable Lemon Rice,Easy to Cook,Vegetarian,"Rice, lemon juice, peanuts",Mix rice with lemon seasoning,Low,20,3,290,6,46,8,1. Cook rice and cool. 2. Heat oil and peanuts. 3. Add spices. 4. Mix rice and lemon juice. 5. Serve fresh.
Paneer Scramble,Easy to Cook,Vegetarian,"Paneer, onion, spices",Sauté crumbled paneer,Medium,15,2,330,18,14,20,1. Crumble paneer. 2. Sauté onions. 3. Add spices. 4. Add paneer. 5. Cook briefly.
Vegetable Rice Bowl,Easy to Cook,Vegetarian,"Rice, vegetables, sauce",Assemble rice and veggies,Low,15,2,300,7,46,6,1. Cook rice. 2. Sauté vegetables. 3. Season lightly. 4. Combine in bowl. 5. Serve warm.
Egg Drop Soup,Easy to Cook,Non-Vegetarian,"Eggs, broth",Pour eggs into boiling broth,Low,15,2,140,9,4,8,1. Boil broth. 2. Beat eggs lightly. 3. Slowly pour eggs. 4. Stir gently. 5. Season and serve.
Vegetable Idli Fry,Easy to Cook,Vegetarian,"Idli, vegetables, spices",Sauté idli with masala,Medium,20,2,260,7,38,8,1. Cut idli into cubes. 2. Sauté vegetables. 3. Add spices. 4. Add idli pieces. 5. Toss well.
Bread Pizza,Easy to Cook,Vegetarian,"Bread, sauce, cheese, onion, capsicum, seasonings",Toast bread pizza,Low,15,2,310,12,32,14,1. Spread sauce on bread. 2. Add toppings. 3. Sprinkle cheese. 4. Toast covered. 5. Serve hot.
Vegetable Khichu,Easy to Cook,Vegetarian,"Rice flour, vegetables",Cook flour with vegetables,Low,20,2,230,6,40,4,1. Boil water with spices. 2. Add vegetables. 3. Add rice flour slowly. 4. Stir continuously. 5. Serve hot.
Egg Paratha Roll,Easy to Cook,Non-Vegetarian,"Eggs, paratha",Roll egg inside paratha,Medium,15,1,360,15,30,20,1. Heat paratha. 2. Pour beaten egg. 3. Cook together. 4. Roll tightly. 5. Serve hot.
Vegetable Couscous,Easy to Cook,Vegetarian,"Couscous, vegetables",Steam couscous and mix,Low,15,2,270,8,44,6,1. Add hot water to couscous. 2. Cover and rest. 3. Fluff grains. 4. Add vegetables. 5. Toss and serve.
Milk Bread Pudding,Easy to Cook,Vegetarian,"Bread, milk, sugar",Bake or steam pudding,Low,25,3,290,8,34,10,1. Cut bread into pieces. 2. Heat milk and sugar. 3. Mix together. 4. Cook till set. 5. Cool and serve.
